x;y
120;-120
120;-120
120;-120
120;-118
120;-114
120;-107
120;-103
120;-100
120;-96
120;-89
120;-85
120;-82
120;-78
120;-71
120;-67
120;-63
120;-60
120;-52
120;-49
120;-45
120;-41
120;-34
120;-30
120;-27
120;-23
120;-16
120;-12
120;-9
120;-5
120;1
120;5
120;9
120;12
120;20
120;23
120;27
120;31
120;38
120;42
120;45
120;49
120;56
120;60
120;63
120;67
120;74
120;78
120;82
120;85
120;95
120;100
120;105
120;109
120;116
120;117
120;119
120;120
120;123
120;123
120;123
120;123
120;123
120;123
